,y_test,y_pred,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,total_n_days,avg_total_sum_clicks,year,semester,overall_total_clicks
14365,1,1,3,1,12,0,5,0,1,120,0,2,1.7142857142857142,2014,0,3.4285714285714284
4454,1,1,1,0,2,2,7,0,2,120,0,11,2.35,2014,0,25.85
19856,1,1,5,1,10,0,9,0,1,180,0,15,2.176470588235294,2013,0,32.647058823529406
25695,0,0,5,1,1,2,2,1,0,60,0,252,4.181377825618945,2014,1,1053.7072120559742
1438,0,0,1,0,4,2,0,0,0,60,0,60,3.2720588235294117,2013,0,196.3235294117647
5012,1,1,1,0,1,2,2,1,0,60,0,11,2.9565217391304346,2014,0,32.52173913043478
24043,1,0,5,1,8,0,8,0,0,60,0,42,4.390977443609023,2014,0,184.42105263157896
23097,0,0,5,1,0,0,6,0,0,120,0,85,4.172161172161172,2013,1,354.6336996336997
9634,1,1,2,1,3,2,1,2,0,60,0,18,4.4021739130434785,2014,1,79.23913043478261
7985,0,0,2,0,9,2,8,1,0,90,0,125,3.7893217893217894,2014,0,473.66522366522366
4475,0,1,1,0,1,2,2,0,1,180,0,35,2.762962962962963,2014,0,96.70370370370371
26663,1,1,5,1,11,0,6,0,0,60,0,13,2.5454545454545454,2014,1,33.09090909090909
8295,1,0,2,0,4,0,3,0,0,60,0,82,4.542944785276074,2014,0,372.52147239263803
27191,1,0,6,0,0,0,0,0,0,30,0,31,3.2298850574712645,2013,1,100.1264367816092
17265,0,0,4,1,6,0,9,1,0,50,0,73,4.2689486552567235,2013,1,311.6332518337408
24885,0,0,5,1,5,0,5,1,0,90,0,140,5.250716332378223,2014,1,735.1002865329513
14305,0,0,3,1,8,2,7,0,0,60,0,167,2.3174193548387096,2013,1,387.0090322580645
4119,0,0,1,0,0,2,5,1,1,60,1,47,3.1862068965517243,2013,1,149.75172413793103
8374,1,1,2,1,8,2,7,0,0,60,0,6,3.4285714285714284,2014,0,20.57142857142857
22380,0,0,5,1,7,2,5,0,0,60,0,105,4.051282051282051,2013,1,425.38461538461536
488,0,0,0,1,8,1,7,2,0,60,0,53,5.701388888888889,2014,1,302.17361111111114
4504,1,1,1,0,1,2,2,0,0,60,0,25,2.268292682926829,2014,0,56.70731707317073
6238,1,1,1,0,6,0,8,1,0,180,0,1,1.6666666666666667,2014,1,1.6666666666666667
18692,0,0,4,1,4,0,2,0,0,60,0,100,4.39412997903564,2014,1,439.41299790356396
17371,0,1,4,1,11,0,3,0,0,90,0,19,3.5,2013,1,66.5
11775,1,0,3,0,0,2,1,0,1,120,0,124,3.1954314720812182,2013,0,396.23350253807104
647,1,0,0,0,7,2,6,1,0,60,0,83,3.3727598566308243,2014,1,279.93906810035844
11142,1,1,2,1,6,0,5,1,1,120,0,3,1.5,2014,1,4.5
15425,0,1,3,0,12,0,5,0,0,120,0,33,2.4510869565217392,2014,0,80.88586956521739
573,1,0,0,0,11,0,2,0,0,60,0,46,2.5900383141762453,2014,1,119.14176245210729
13015,1,0,3,1,8,2,6,1,0,60,0,120,2.6238938053097347,2013,1,314.86725663716817
20700,1,1,5,1,10,1,3,0,0,60,0,6,4.568965517241379,2013,0,27.413793103448274
18322,1,1,4,1,5,1,0,1,1,90,0,10,2.4827586206896552,2014,0,24.82758620689655
22966,1,0,5,1,4,2,1,0,0,120,0,128,3.174137931034483,2013,1,406.2896551724138
7659,1,0,2,1,12,1,0,1,0,60,0,84,1.9293478260869565,2014,0,162.06521739130434
1921,0,0,1,0,10,2,6,1,0,120,0,109,2.6162046908315566,2013,0,285.1663113006397
13218,0,0,3,0,0,0,0,0,0,60,1,97,2.647727272727273,2013,1,256.8295454545455
27816,0,0,6,1,4,0,0,0,1,60,1,41,3.0726256983240225,2014,0,125.97765363128492
26061,0,0,5,1,12,0,8,1,0,60,0,174,4.860018298261665,2014,1,845.6431838975298
26479,1,1,5,0,1,2,1,0,0,120,0,4,1.5263157894736843,2014,1,6.105263157894737
24016,0,0,5,1,8,0,9,0,0,120,0,60,4.507625272331155,2014,0,270.4575163398693
2916,1,1,1,1,6,2,1,1,0,60,0,14,2.4927536231884058,2013,1,34.89855072463768
11884,1,1,3,1,5,2,1,1,1,120,1,30,2.2524271844660193,2013,0,67.57281553398057
17809,1,0,4,1,6,2,1,0,0,90,0,52,4.277310924369748,2013,1,222.42016806722688
1827,0,0,1,1,10,0,5,1,0,120,0,59,2.1699346405228757,2013,0,128.02614379084966
1443,1,0,1,0,10,0,9,1,0,75,0,107,2.0235042735042734,2013,0,216.51495726495725
5958,1,1,1,0,5,2,1,1,0,60,0,21,4.046511627906977,2014,1,84.97674418604652
11145,0,0,2,1,0,0,7,1,0,150,0,55,3.014851485148515,2014,1,165.81683168316832
18989,1,0,4,1,5,0,3,0,1,60,0,48,3.908695652173913,2014,1,187.61739130434782
14345,0,0,3,0,5,2,1,0,1,180,0,60,2.028169014084507,2014,0,121.69014084507042
16795,1,1,3,1,10,1,6,0,0,180,0,28,2.945736434108527,2014,1,82.48062015503876
14612,0,0,3,0,7,0,7,1,1,120,0,122,3.2040268456375838,2014,0,390.89127516778524
21228,1,0,5,0,7,2,4,1,0,75,1,53,4.461988304093567,2013,0,236.48538011695905
27592,0,0,6,0,0,2,2,0,0,30,0,40,3.81767955801105,2013,1,152.707182320442
26447,1,1,5,1,3,0,5,0,0,60,0,7,2.1627906976744184,2014,1,15.139534883720929
5333,0,0,1,0,7,0,4,1,1,120,0,77,3.350974930362117,2014,0,258.025069637883
12610,0,0,3,1,6,1,6,1,0,90,0,103,2.115168539325843,2013,1,217.86235955056182
23991,0,0,5,1,12,2,4,1,0,60,0,162,3.9258883248730965,2014,0,635.9939086294416
24099,1,1,5,1,12,2,2,0,0,60,0,10,3.2777777777777777,2014,0,32.77777777777778
13313,1,1,3,0,7,0,4,0,1,60,0,28,2.116279069767442,2013,1,59.25581395348838
18583,0,0,4,1,5,2,3,0,0,30,0,55,3.33195020746888,2014,0,183.2572614107884
16634,0,1,3,1,9,0,6,0,0,120,1,38,1.9602649006622517,2014,1,74.49006622516556
1971,1,1,1,0,4,2,1,0,0,60,0,22,2.1043478260869564,2013,0,46.29565217391304
24922,1,1,5,1,11,0,3,1,0,120,0,34,2.1476510067114094,2014,1,73.02013422818791
12362,0,0,3,1,6,1,2,1,0,90,0,203,2.8678304239401498,2013,0,582.1695760598504
14751,0,0,3,1,6,1,8,0,0,60,0,44,1.8867924528301887,2014,0,83.01886792452831
7011,0,0,1,0,10,1,2,1,0,60,0,32,4.401869158878505,2014,1,140.85981308411215
18631,0,0,4,1,0,1,4,1,0,30,0,98,5.906521739130435,2014,0,578.8391304347826
18563,0,0,4,1,11,0,8,1,0,30,0,198,4.539148351648351,2014,0,898.7513736263736
20095,1,1,5,1,6,0,5,0,0,60,0,1,2.0,2013,0,2.0
19711,0,0,4,1,9,2,5,0,0,150,0,169,4.127722772277227,2014,1,697.5851485148514
15681,0,0,3,0,8,0,1,0,0,60,0,67,1.9809264305177112,2014,1,132.72207084468664
12293,1,1,3,1,1,0,0,0,0,60,0,42,2.996,2013,0,125.832
5957,1,0,1,0,8,0,5,1,0,60,0,68,1.8506224066390042,2014,1,125.84232365145229
5521,1,0,1,0,0,1,3,1,1,60,0,28,6.516304347826087,2014,1,182.45652173913044
28645,1,1,6,1,11,2,3,1,1,30,0,5,2.0,2014,1,10.0
14440,1,1,3,1,9,0,7,0,2,90,0,43,2.2375,2014,0,96.21249999999999
28894,0,1,6,0,3,2,0,0,0,30,1,14,2.5875,2014,1,36.225
20664,0,1,5,1,3,0,3,0,0,120,0,40,4.364963503649635,2013,0,174.5985401459854
21141,0,0,5,1,6,1,0,1,0,60,0,136,5.776615969581749,2013,0,785.6197718631179
9967,1,0,2,0,9,0,2,1,0,60,0,41,3.1962264150943396,2014,1,131.04528301886793
12109,1,0,3,1,3,1,1,1,0,60,0,67,2.6390243902439026,2013,0,176.81463414634146
9031,1,1,2,1,0,2,7,1,0,90,0,35,3.0228571428571427,2014,0,105.8
26278,0,0,5,1,1,0,1,0,0,90,0,93,4.4849445324881145,2014,1,417.09984152139464
26660,1,1,5,1,9,2,5,0,0,150,0,3,1.25,2014,1,3.75
16035,0,0,3,1,3,2,2,0,0,60,0,116,2.8009118541033433,2014,1,324.90577507598783
6578,0,1,1,0,7,0,1,0,0,60,0,11,1.4878048780487805,2014,1,16.365853658536587
8930,0,1,2,1,0,1,4,1,0,30,0,34,3.888888888888889,2014,0,132.22222222222223
9952,0,0,2,1,1,2,9,0,0,30,0,54,4.7730263157894735,2014,1,257.74342105263156
1236,0,1,1,0,12,0,0,0,0,90,0,25,1.823008849557522,2013,0,45.57522123893805
8504,1,1,2,0,6,1,4,0,0,60,0,21,6.074074074074074,2014,0,127.55555555555556
3320,0,0,1,1,8,2,9,1,0,120,0,82,1.8308605341246291,2013,1,150.13056379821958
7040,1,1,1,0,3,2,0,1,0,120,0,28,3.131868131868132,2014,1,87.6923076923077
16527,0,0,3,1,7,0,6,0,0,60,1,55,1.9931506849315068,2014,1,109.62328767123287
17257,0,0,4,1,2,2,7,0,0,60,0,91,3.5441176470588234,2013,1,322.5147058823529
27718,0,1,6,0,1,0,9,1,0,30,0,14,2.5643564356435644,2013,1,35.9009900990099
8395,0,0,2,1,8,0,8,0,0,60,0,84,2.5441767068273093,2014,0,213.710843373494
2419,0,0,1,0,12,0,7,1,0,60,0,121,2.555895865237366,2013,1,309.2633996937213
24956,0,0,5,1,7,2,4,1,0,60,0,185,4.501714285714286,2014,1,832.8171428571429
23694,1,1,5,1,5,0,3,0,1,90,0,2,1.6,2014,0,3.2
20591,1,0,5,1,3,0,6,0,0,90,0,71,2.7071290944123314,2013,0,192.20616570327553
24821,1,1,5,1,2,2,1,0,0,90,0,31,2.36,2014,1,73.16
22345,0,0,5,1,9,0,4,0,0,60,0,142,4.269565217391304,2013,1,606.2782608695652
5934,0,0,1,0,7,0,4,1,1,60,0,58,4.569911504424779,2014,1,265.0548672566372
22308,1,1,5,1,2,2,5,0,0,150,0,7,2.392857142857143,2013,1,16.75
23067,0,0,5,1,6,0,7,0,0,90,0,76,4.414872798434442,2013,1,335.53033268101757
23821,1,0,5,1,7,0,9,0,1,120,0,44,6.10727969348659,2014,0,268.72030651341
24840,1,0,5,0,0,2,5,0,0,180,0,126,4.533632286995516,2014,1,571.2376681614351
7917,1,1,2,1,7,0,3,0,0,60,0,5,2.8333333333333335,2014,0,14.166666666666668
11926,0,0,3,0,9,0,2,1,0,60,0,149,2.2732342007434942,2013,0,338.71189591078064
22052,0,0,5,1,8,0,3,0,0,90,0,124,4.040455120101138,2013,1,501.01643489254104
13613,0,0,3,1,3,0,3,0,0,90,0,140,2.634920634920635,2013,1,368.88888888888886
12837,0,0,3,1,0,2,8,0,0,60,0,82,2.79553264604811,2013,1,229.233676975945
9569,1,1,2,1,6,1,7,0,0,30,0,23,3.1360544217687076,2014,1,72.12925170068027
18887,1,0,4,1,2,0,0,1,0,60,0,49,3.9563106796116503,2014,1,193.85922330097085
24452,1,1,5,1,5,0,0,0,0,60,0,22,3.1714285714285713,2014,0,69.77142857142857
15238,0,0,3,1,0,0,7,0,0,60,0,212,2.2447078746824727,2014,0,475.8780694326842
27393,1,1,6,0,5,2,0,0,0,30,0,13,3.3529411764705883,2013,1,43.588235294117645
7999,0,0,2,0,12,1,1,1,0,90,0,144,3.5299785867237685,2014,0,508.31691648822266
7487,0,0,2,1,0,0,5,0,0,60,0,110,3.613899613899614,2014,0,397.5289575289575
11263,1,1,2,1,6,0,9,0,0,30,0,3,10.789473684210526,2014,1,32.368421052631575
21360,0,0,5,1,0,0,4,0,0,60,0,98,4.748419721871049,2013,1,465.34513274336285
24647,1,0,5,1,11,2,8,0,0,90,0,60,6.759862778730703,2014,0,405.59176672384217
25831,1,0,5,1,3,2,8,1,0,60,0,177,4.831398900427612,2014,1,855.1576053756872
15612,0,0,3,1,11,0,4,0,0,60,0,153,2.086036671368124,2014,1,319.163610719323
28913,0,0,6,1,3,0,8,1,0,30,1,75,3.5233333333333334,2014,1,264.25
16875,0,0,3,1,10,0,8,0,0,120,0,48,2.392,2014,1,114.816
10723,1,0,2,1,0,0,8,0,0,90,0,66,3.170886075949367,2014,1,209.27848101265823
9438,1,1,2,1,10,2,2,1,0,30,0,40,4.327814569536423,2014,1,173.11258278145692
26635,0,0,5,1,7,0,9,0,0,120,0,43,3.9383259911894273,2014,1,169.34801762114537
16006,1,1,3,0,0,0,7,0,0,180,0,9,1.515625,2014,1,13.640625
5054,1,0,1,1,3,2,1,1,0,60,0,52,1.8297872340425532,2014,0,95.14893617021276
10011,1,1,2,1,1,2,9,1,0,30,0,8,2.25,2014,1,18.0
18917,0,0,4,1,0,0,9,0,0,60,0,158,5.256198347107438,2014,1,830.4793388429753
19191,1,1,4,1,1,0,3,0,0,120,0,4,2.787878787878788,2014,1,11.151515151515152
22992,1,1,5,0,1,0,0,0,0,120,0,5,2.717391304347826,2013,1,13.58695652173913
23902,1,1,5,1,5,1,0,1,1,150,0,44,4.2026143790849675,2014,0,184.91503267973857
29106,0,0,6,0,5,2,1,1,0,30,0,31,3.734782608695652,2014,1,115.77826086956522
14772,1,1,3,0,9,2,3,0,1,180,0,15,1.826086956521739,2014,0,27.391304347826086
11060,1,1,2,1,1,0,8,0,0,60,0,5,2.75,2014,1,13.75
20572,1,1,5,1,6,2,3,0,0,60,0,25,2.541871921182266,2013,0,63.54679802955665
930,1,0,1,0,4,1,8,1,0,60,0,50,3.945392491467577,2013,0,197.26962457337885
6936,1,1,1,1,5,2,3,0,0,120,1,1,2.7142857142857144,2014,1,2.7142857142857144
26305,1,1,5,1,1,2,8,0,0,180,0,15,2.878787878787879,2014,1,43.18181818181819
26309,0,0,5,1,10,1,4,0,0,60,0,58,6.240343347639485,2014,1,361.9399141630902
2656,1,0,1,0,11,2,8,0,0,180,1,66,2.0381679389312977,2013,1,134.51908396946564
9528,0,0,2,1,7,2,9,0,0,60,0,81,7.056234718826406,2014,1,571.5550122249389
13157,0,0,3,1,7,2,9,0,0,60,1,156,2.5454545454545454,2013,1,397.09090909090907
6091,1,1,1,0,5,0,3,0,0,120,0,11,2.086206896551724,2014,1,22.948275862068968
5468,0,0,1,0,7,0,2,0,0,120,0,45,2.778688524590164,2014,1,125.04098360655738
26982,0,0,6,0,1,0,5,0,0,30,1,51,2.5578512396694215,2013,1,130.4504132231405
10872,0,0,2,1,11,1,9,0,0,60,0,55,3.325892857142857,2014,1,182.92410714285714
22386,0,0,5,1,0,0,3,0,0,60,0,97,3.934900542495479,2013,1,381.6853526220615
29134,1,1,6,0,6,2,2,0,0,30,1,17,2.1447368421052633,2014,1,36.46052631578947
10269,0,0,2,1,7,1,9,1,0,90,0,48,3.037433155080214,2014,1,145.79679144385028
14720,1,1,3,1,10,0,7,0,0,60,0,31,1.6936936936936937,2014,0,52.5045045045045
18936,1,0,4,1,0,0,9,0,1,90,0,71,4.45822102425876,2014,1,316.533692722372
26214,0,0,5,0,0,2,5,1,0,90,0,141,5.408376963350785,2014,1,762.5811518324607
20744,1,1,5,1,11,2,0,1,0,120,1,3,2.2222222222222223,2013,0,6.666666666666667
14086,1,1,3,0,10,2,8,0,0,60,0,12,2.9647058823529413,2013,1,35.576470588235296
6966,1,1,1,1,11,2,3,0,0,60,0,30,3.255,2014,1,97.64999999999999
1703,0,1,1,0,8,2,9,1,0,120,0,27,2.9289940828402368,2013,0,79.0828402366864
26430,0,0,5,1,5,2,2,0,0,120,0,95,4.321928460342146,2014,1,410.58320373250393
4322,0,0,1,0,3,1,3,0,0,120,0,97,2.0609756097560976,2014,0,199.91463414634146
8762,0,0,2,1,12,0,7,0,0,60,0,164,4.3136563876651985,2014,0,707.4396475770926
14047,0,0,3,1,9,0,0,0,0,60,0,52,1.905829596412556,2013,1,99.10313901345292
4697,0,0,1,0,10,2,2,1,0,60,1,100,4.385304659498208,2014,0,438.5304659498208
25555,0,0,5,1,7,2,8,1,0,90,0,245,5.276773296244785,2014,1,1292.8094575799723
12880,1,0,3,0,3,2,0,0,1,180,1,116,2.8424242424242423,2013,1,329.7212121212121
5226,1,1,1,0,9,0,6,0,0,60,0,5,3.9,2014,0,19.5
3491,1,1,1,0,2,2,5,0,0,60,0,21,3.0714285714285716,2013,1,64.5
27427,0,0,6,0,8,2,5,1,0,30,0,37,3.4857142857142858,2013,1,128.97142857142856
20422,1,0,5,1,2,1,5,0,0,60,0,73,3.564885496183206,2013,0,260.23664122137404
28742,1,1,6,0,9,2,4,1,0,30,0,1,2.3333333333333335,2014,1,2.3333333333333335
21856,1,0,5,1,3,0,1,0,1,60,0,48,5.520446096654275,2013,1,264.9814126394052
25678,0,0,5,0,8,0,5,0,0,60,1,112,4.387140902872777,2014,1,491.35978112175104
1296,1,1,1,0,2,0,8,0,0,60,0,15,2.8157894736842106,2013,0,42.23684210526316
21975,0,0,5,1,6,1,3,1,0,60,0,125,4.003685503685504,2013,1,500.460687960688
7633,0,0,2,0,8,2,9,0,0,120,0,185,3.47438330170778,2014,0,642.7609108159393
7434,1,1,2,0,6,0,3,0,0,120,0,37,3.0136986301369864,2014,0,111.5068493150685
6711,0,0,1,0,2,0,9,0,0,60,0,70,3.8397626112759644,2014,1,268.7833827893175
21899,1,1,5,1,5,2,2,0,0,120,1,44,3.400763358778626,2013,1,149.63358778625954
3134,1,1,1,1,9,0,2,1,0,60,0,5,1.2941176470588236,2013,1,6.470588235294118
21117,0,0,5,1,0,0,3,1,1,90,0,133,5.532780082987552,2013,0,735.8597510373444
16388,0,0,3,1,12,1,3,0,0,120,0,80,2.0588235294117645,2014,1,164.70588235294116
4573,0,1,1,0,1,2,5,0,1,120,0,10,2.125,2014,0,21.25
21396,0,0,5,1,9,2,3,0,0,90,0,142,3.9254170755642788,2013,1,557.4092247301276
6268,0,0,1,0,12,2,7,0,0,90,0,41,4.396078431372549,2014,1,180.23921568627452
21376,0,0,5,1,6,0,6,1,0,60,0,168,3.850777202072539,2013,1,646.9305699481865
7437,0,0,2,1,5,0,2,1,0,60,0,94,3.3683035714285716,2014,0,316.6205357142857
26587,1,1,5,1,3,0,2,0,0,180,1,27,2.2,2014,1,59.400000000000006
17727,1,1,4,1,5,2,7,0,0,90,0,14,5.762711864406779,2013,1,80.6779661016949
12157,0,0,3,1,10,2,8,0,0,60,0,138,2.763922518159806,2013,0,381.42130750605327
18912,0,0,4,1,5,0,1,0,0,60,0,110,3.507017543859649,2014,1,385.7719298245614
13290,1,1,3,1,11,1,1,0,0,90,0,33,2.2342857142857144,2013,1,73.73142857142858
26199,1,0,5,1,6,1,4,1,0,60,0,43,4.768488745980707,2014,1,205.0450160771704
9411,1,1,2,1,11,0,0,0,0,60,0,16,4.076086956521739,2014,1,65.21739130434783
27793,0,0,6,0,3,2,1,0,0,30,0,42,2.8628318584070795,2014,0,120.23893805309734
27898,0,0,6,0,5,2,3,1,0,30,0,61,4.122905027932961,2014,0,251.49720670391062
9028,1,1,2,0,1,0,3,1,0,90,0,20,5.109756097560975,2014,0,102.1951219512195
18088,1,1,4,1,6,2,9,0,1,60,0,46,4.532188841201717,2014,0,208.48068669527896
26790,1,1,5,1,3,2,1,1,0,180,0,15,2.740740740740741,2014,1,41.111111111111114
